genaro	genero
wea	web
seguindo	seguido
sdv	adv
quiser	quier
falar	calar
dejan	dejas
cachai	cachar
dioh	dio
mioh	mio
polola	pololo
gaston	gasto
gaston	gasto
alumbrando	alumbrado
idolos	idolo
pucha	picha
peldon	pellon
ctm	com
caemos	cavemos
gaston	gasto
venas	velas
suicidare	suicidar
preocupes	preocupe
fumando	fumado
skina	saina
probaste	probarte
td	d
detalles	detalle
pliz	plim
amiwa	amiga
panchio	pancho
cruzaba	cruzada
noe	neo
conoses	conoces
sta	ata
lucua	lucia
arturo	artero
illa	olla
eskuela	escuela
bas	vas
semanaa	semana
hermosaa	hermosa
hacee	hacer
cmo	amo
bonitaa	bonita
cuuato	curato
oo	o
keres	eres
carita	varita
carita	varita
bebee	bebe
tube	tuve
enpezar	empezar
pt	pq
descubrio	descubrir
quisieras	quisieran
toi	toy
viergen	vierten
petee	pete
pregumto	pregunto
embolada	embolado
ura	hura
agas	hagas
aces	haces
acen	hacen
rafael	rafal
vl	va
lamas	lamais
fede	cede
ruiz	ruin
ismael	israel
juani	juan
ivan	iban
vl	va
adrian	darian
braian	traian
cja	ceja
fest	test
quie	quee
besitoo	besito
arribas	arribar
animoos	animaos
sè	ss
disen	dicen
conzco	conico
chiquita	chiquito
estavas	estabas
ilusionada	ilusionado
elias	alias
ensima	encima
elias	alias
piya	pira
hermanita	hermanito
merese	merece
protegerte	protegerse
dormias	dormia
necesita	necesito
canses	cases
esuchar	escuchar
pasara	pesara
hermosuraa	hermosura
nuncaa	nunca
hermosaa	hermosa
comoo	como
feoo	feo
esq	eso
ess	esa
laaa	laa
comoo	como
feoo	feo
digoo	digo
preguntartee	preguntarte
noviaa	novia
toto	roto
ilucion	ilusion
oirt	oirte
mirart	mirarte
tngo	tengo
hisiste	hiciste
encararte	encararse
st	set
estalla	estalle
encaras	encarar
esperas	esperad
encaren	encarnen
bailas	balas
vy	vr
chapando	chapado
porfi	porfie
enamoraste	enamorarte
gustaste	gustarte
sooo	sopo
unaaa	unaa
caloor	calor
parteee	partee
taa	ta
buuenoo	buenoo
guustaa	gustaa
asii	asi
vooz	voos
sientas	sientase
feliiz	feliz
aguuante	aguante
queee	quee
fietas	dietas
olaa	holaa
acordas	acordad
asiendo	asiento
manchaste	mancharte
depues	despues
ayy	ay
aserlo	aserto
major	mador
isiste	insiste
algoo	algo
despuess	despues
gg	ge
bessos	besso
enso	eso
enso	eso
emcima	encima
colaa	cola
avorto	aborto
kevin	kelvin
fran	gran
gomez	pomez
fede	cede
kevin	kelvin
piero	fiero
mati	mato
cubilla	subilla
diaz	dias
enso	eso
keres	eres
enzo	unzo
enso	eso
angela	angla
enzo	unzo
enzo	unzo
entendelo	entendedlo
weno	heno
enso	eso
enso	eso
enso	eso
kual	cual
qeres	queres
mass	maas
tns	tos
amiba	ameba
noviia	novia
amigaa	amiga
nochee	noche
rastas	gastas
feer	fer
seguiis	seguis
beeso	beso
carp	caro
lc	c
reyes	reles
djeo	dejo
alguieen	alguien
tanbien	tambien
agas	hagas
entienden	entiende
teee	tee
contame	contadme
herrera	berrera
seguila	seguirla
gg	ge
nicole	nicol
moya	mora
mari	maro
aranda	baranda
maldita	maldito
aprendia	prendia
pilas	pilad
juntamos	untamos
conta	cinta
conta	cinta
acordas	acordad
yami	ami
gustaas	gustas
muchoo	mucho
ahoraa	ahora
identifica	identifico
jajajajaaa	jajajajaja
soli	solo
platonica	platonico
sla	ala
simportante	importante
pastelera	pastelero
acaramelada	acaramelado
caramelos	caramelo
dulces	duces
jaajaja	jajaja
agan	hagan
porqq	porq
ablo	hablo
respondes	responded
carita	varita
gatita	garita
psate	paste
parecian	parecia
rescato	rescate
llaman	laman
tte	tete
gussta	gusta
oluuu	holuuu
gatitos	garitos
perritos	perrito
tristes	triste
tigres	tigresa
planiado	plantado
famosos	famoso
besas	esas
jjajajaj	jajajajaj
forraa	forra
pudiiste	pudiste
cuuando	cuando
tapee	tape
jajjajaa	jajjaja
chiquita	chiquito
pali	palo
malota	galota
aplicando	aplicado
sa	da
gi	ji
it	ir
follow	follon
rodriguez	rodrigue
fumando	fumado
churrito	churrite
gustee	guste
compro	compra
caramelos	caramelo
lov	love
iu	ii
jajajajajj	jajajajaj
camo	cami
reina	erina
francoo	franco
lida	luda
llores	lores
princesaa	princesa
andate	andare
traidora	traidor
valentina	valentona
melina	melino
delfina	delfin
olivia	bolivia
sanra	santa
noveo	niveo
bolas	bolsa
decile	decime
plis	plus
hacee	hacer
ono	noo
twe	tee
gustaaa	gustaa
gaga	haga
idolos	idolo
noviuo	novio
robes	rones
direction	direccion
puntos	pintos
micaa	mica
rodriguez	rodrigue
meee	mee
musika	musica
kiss	miss
besi	beso
holaas	holas
daas	das
dooy	doy
preguntaas	preguntas
crearas	crearos
tocarias	tocaras
relaja	rebaja
temas	tomas
respetas	respetar
comprado	comparado
fijas	fijad
mentirosa	mentiroso
mismaa	misma
perfectos	perfecto
juli	julo
amewa	ameba
bloda	boda
agas	hagas
piyos	piros
bloda	boda
ocea	osea
berdad	verdad
piyo	pito
berdad	verdad
dejan	dejas
vien	bien
piy	pis
perfiil	perfil
aujero	agujero
odien	odies
kis	sis
bye	bue
editas	editad
entraste	entrante
besotee	besote
deci	meci
holees	holee
preferiaa	preferida
secu	seca
entraste	entrante
jero	jeto
porqee	porqe
ajajajajaj	jajajajaj
chaito	chato
temas	tomas
temas	tomas
bastantes	bastantee
jere	jete
aah	ah
iron	iran
maiden	mariden
isso	siso
tenho	tengo
isso	siso
tenho	tengo
mides	vides
besoote	besote
kmo	km
kuenta	cuenta
kual	cual
chiko	chico
kasi	casi
besss	besos
yoha	yola
pasece	pasese
jejo	cejo
musik	musir
predilecta	predilecto
completoo	completo
bsoom	boom
lindaaa	lindaa
sy	si
acordas	acordad
aka	aca
kreida	creida
bessss	besoss
cagona	casona
mija	miga
morre	morra
cuaio	curio
cagona	casona
som	com
chikas	chicas
ayudame	ayudase
tenog	tengo
pag	paf
jasjaja	jajjaja
maal	mal
alas	atas
trmenda	tremenda
bardean	barden
chupo	chulo
desi	dese
nombree	nombre
atorranta	atorrante
tendrias	tendrian
puuta	puta
bafo	vafo
onca	inca
tarada	parada
cantaar	cantar
hoolap	hoolaa
coreos	comeos
jajajajajja	jajajajajaj
feea	fea
patetica	patetico
disiendo	diciendo
miarda	mirada
diios	dios
cantaas	cantas
pensastes	pensaste
podias	podiais
tullo	mullo
trabaja	trabaje
manya	mania
jajajjajajajaj	jajajajajajaj
ascoo	asco
gordaa	gorda
pasateeee	pasateee
dii	di
siigoo	sigoo
holiis	holis
aquii	aqui
holuuuu	holuuu
tiienes	tienes
listooo	listoo
pasateeeee	pasateeeeee
escribee	escribe
rosi	tosi
apoyoo	apoyo
chupo	chulo
mandamee	mandame
confundido	confundidor
comenta	comente
mary	mare
it	ir
day	dar
besottes	besotes
sentimiento	asentimiento
lin	lid
ajjajajajaja	jajajajajaja
planchas	planchad
gustaran	gastaran
feote	frote
nuevas	nueva
chiita	chista
pff	puf
tiras	tirad
patadas	patada
tirandome	mirandome
patadas	patada
boo	noo
decepcionas	decepcionar
romina	romana
sepas	seas
maxi	taxi
romina	romana
pistas	pistad
ilucionado	ilusionado
pistas	pistad
pistas	pistad
acabara	acabada
esperas	esperad
suceda	sauceda
proximos	proximo
cambiaras	cambiaros
mejorarla	mejorarlo
tke	the
tambienn	tambien
avos	amos
your	tour
turn	turno
now	non
tv	v
pacion	pasion
seguna	segunda
tuyas	tuya
mojarme	mojarle
perdi	pendi
shhh	ahhh
tenees	tenes
noviio	novio
ponys	pones
tardes	tarde
boludan	boluda
vistes	visten
bolvio	volvio
momir	momio
xp	xi
matala	matula
leru	peru
leru	peru
irias	iris
negri	negro
maru	mare
ganaste	ganate
habeces	haberes
estarias	estaria
faku	facu
nuñez	nuez
santii	santi
cabrera	cabrear
mauri	mauro
sigales	singales
brian	frian
duce	dice
frutas	frutal
frutas	frutal
chocolote	chocolate
frutas	frutal
confias	confiad
pauula	paula
ammm	amm
besooooo	besoooo
holiiii	holiii
iome	home
numeroo	numero
idiomaa	idioma
favoritoo	favorito
bellos	belfos
momentoos	momentos
beshito	besito
ejje	jeje
teee	tee
todooo	todoo
segis	seguis
lindi	lindo
bbeso	obeso
añoo	amoo
canses	cases
deseos	deseoso
pedirias	pediras
cosquillas	cosquillar
conservas	conservar
llename	llenase
aseptas	aceptas
ganaste	ganate
oppa	popa
oppa	popa
oppa	popa
volvernos	volveros
ers	era
cari	caro
quen	qien
quen	qien
quen	qien
requisitos	requisito
io	yo
jejje	jeje
ps	pc
ers	era
requisitos	requisito
ps	pc
interez	interes
esperoo	espero
loquis	loquios
yooo	yoo
tupida	tupid
atrofiada	atrofiado
cani	can
cani	can
cani	can
cani	can
cani	can
levantas	levantar
pasateeee	pasateee
eii	ei
holiiis	holiii
ahces	haces
timepo	tiempo
disfrutas	disfrutar
puedieras	pudieras
sorry	sorra
devulevo	devuelvo
geniaa	genia
sacandote	sacandose
colita	solita
segundos	segundon
entras	entrar
regalito	realito
tendrias	tendrian
hemrosa	hermosa
iva	iba
bestida	bestia
seguiss	seguis
loli	oli
xdxd	xdd
cosita	costa
cagan	capan
juana	juan
idola	idolo
holaaaaas	holaaaaaa
ratos	rayos
viejas	viejos
vieji	viejo
ayudame	ayudase
pierng	pierna
comenta	comente
ganes	panes
ashe	aspe
besotee	besote
atrae	trae
inicialess	iniciales
duvan	divan
duarte	darte
fraanco	franco
estarias	estaria
otraa	otra
quieroo	quiero
ddale	dale
lindoo	lindo
sigoooo	sigooo
fj	j
manya	mania
enana	anana
haa	ha
buee	bue
conectada	conectad
jn	en
enojes	enoje
vien	bien
disiendo	diciendo
loko	loco
bbo	bobo
ms	mes
putis	putos
comenta	comente
exiges	exige
videos	vides
fascina	fascinar
seguila	seguirla
vamo	vago
resbalo	resbale
estrello	estrella
probando	probado
fisica	fisico
cagen	calen
likes	like
ahrre	arre
fuck	fuco
deserve	deserte
it	ir
selena	helena
gomez	pomez
demi	deme
selena	helena
gomez	pomez
belinda	blinda
demi	deme
lovato	lobato
pensamientos	pensamiento
frases	frase
escritas	escrita
suabe	suave
gargaras	gargara
recuerda	recuerdo
finales	fanales
irias	iris
bombom	bombos
acaa	aca
enfrentarte	enfrentarse
kevin	kelvin
atrae	trae
turistas	turista
comes	comed
iron	iran
maiden	mariden
priest	priesa
sabbath	sabbat
grandes	grande
clasic	clasico
cambias	cambiad
llevarias	llevariais
encontraste	encontrarte
hermosos	hermoso
drogas	drogad
loquita	moquita
paola	paila
argento	argenteo
acerdo	acerto
braian	traian
cojiste	cogiste
pablito	palito
pablito	palito
llegues	llegue
borraxha	borracha
tkm	km
kid	cid
cudi	ludi
sofia	cofia
karen	aren
bluss	blusa
ivan	iban
roldan	toldan
enzo	unzo
xime	dime
tejeda	tejed
pegamos	legamos
invite	envite
altas	altar
vengas	vengad
rulos	runos
felicito	felicite
levantas	levantar
perdonas	personas
recomendas	recomendar
llantas	plantas
melina	melino
estarias	estaria
bailo	baile
sacale	sacase
acentos	acento
faltan	falton
varias	variad
clases	cases
novias	novas
estyo	estio
tardas	tardad
jajaajaj	jajajaj
quererla	querella
amarla	amarra
paddre	padre
chicca	chica
toddo	tondo
paddre	padre
qiere	quiere
nadda	nada
cuanttas	cuantas
novias	novas
llaman	laman
distte	diste
primeer	primer
bessso	besso
claase	clase
tte	tete
passe	pase
masx	maso
tte	tete
vidda	viada
qiien	quien
chicca	chica
perfectta	perfecta
paa	pa
commo	como
chicca	chica
perffecta	perfecta
suscribis	suscribir
escayola	escayole
ayudame	ayudase
dani	dan
ummm	emmm
qerias	serias
fijas	fijad
amooo	amoo
llamadas	llamada
quedarte	quemarte
encerrado	encerado
disgusta	disgusto
besas	esas
papito	papiro
decile	decime
benga	venga
inundo	inmundo
fantastica	fantastico
calurosa	caluroso
abrazzo	abrazo
arias	harias
zing	zinc
saliste	salirte
malde	malle
prque	peque
contestas	contestar
perez	jerez
jajajajajajaa	jajajajajaja
jjaa	jaja
organizen	organizan
bailes	baules
arriesge	arriesgo
arriesga	arriesgo
perdi	pendi
kbio	ubio
contas	contad
carolina	carolino
resp	res
boe	be
semanas	semanal
cojido	cogido
bro	buro
obvioo	obvio
gordoo	gordo
boe	be
juntamos	untamos
ciertoo	cierto
sisii	sisi
acuerdoo	acuerdo
anto	anti
lynda	linda
pasamos	pasaros
sabemos	cabemos
optas	optad
alejarte	alejarse
abrazos	abranos
hablarte	hablante
supiste	sumiste
pasara	pesara
sentimos	sentios
libros	libres
coomer	comer
contas	contad
idol	ido
clik	clic
ailen	hilen
colita	solita
yeno	yebo
amorrrr	amorrar
dejaste	devaste
aserlo	aserto
tendrias	tendrian
gemela	gemelar
frace	frase
universida	universidad
estudiando	estudiado
tetas	tetad
lecheo	leche
odia	podia
roses	reses
keres	eres
preguntaa	pregunta
ffacebook	facebook
cosoo	coso
caricatura	cacicatura
ue	ye
siempree	siempre
pasass	pasaos
ayudariias	ayudarias
holoo	holco
esque	seque
yaaa	yaa
dilee	dile
heee	hele
aburria	aburrir
pasaa	pasa
hermanaa	hermana
chaoo	chapo
qla	ola
adoroo	adoro
thomas	tomas
caxo	cazo
tinka	tinta
tinka	tinta
preguntaa	pregunta
graciass	gracias
verdaderos	verdadero
estupidas	estupida
animaal	animal
quisieras	quisieran
pasaate	pasate
caramelos	caramelo
frases	frase
besaste	besante
significan	significar
dimee	dime
olis	holis
competis	competir
perdes	perder
besho	besoo
quisieras	quisieran
regalen	regalon
acite	aceite
acite	aceite
echos	hechos
bebes	bebed
passo	paseo
amigaa	amiga
suertee	suerte
qeres	queres
lloraste	llorarte
holiiis	holiii
trabajas	trabajar
dibina	divina
nicole	nicol
msn	man
likes	like
likes	like
eterna	terna
poesias	poesia
conocias	conocia
prguntas	preguntas
likes	like
aquella	aquello
jajan	jaja
oy	hoy
teniendo	tendiendo
haa	ha
karina	marina
separate	separata
sooy	soy
bogotana	bogotano
casamos	cusamos
nee	ne
gilas	golas
tieenen	tienen
asento	acento
cordobesa	cordobes
tnes	tenes
asento	acento
locaa	loca
aloha	aloja
qeres	queres
jaajaja	jajaja
leoo	leo
een	en
facee	face
magicos	magico
stas	atas
teee	tee
cambias	cambiad
necesitas	necesitar
eeem	eem
hayas	haras
uuh	uh
buee	bue
eternos	eterno
quisieras	quisieran
chabona	chabola
desi	dese
caraa	cara
locaa	loca
romantica	romantico
games	gales
jjugamos	jugamos
mario	vario
bross	cross
qiere	quiere
mias	misa
bardeos	burdeos
omda	moda
omda	moda
estoo	esto
pregu	preg
luchy	luche
juntemos	untemos
levantarme	levantarse
deayunar	desayunar
chiquit	chiquito
decias	deciais
querias	querras
lore	lote
lindaaa	lindaa
sooos	soos
hoal	hola
arias	harias
chamu	champu
aber	aver
dieras	dietas
yoooo	noooo
monos	mono
ornitorrincos	ornitorrinco
besaste	besante
chiquitos	chiquito
chiquitos	chiquito
chiquitos	chiquito
pronuncias	pronunciar
selena	helena
gomes	gomer
bsss	bss
suscribis	suscribir
negocios	negocio
abiertos	abierto
cerraduras	serraduras
ise	ice
molestas	molestias
favortito	favorito
jojo	aojo
paba	pava
cojio	cogio
papita	papista
escondidos	escondido
seba	ceba
aguus	agus
siiigo	siigo
seguiis	seguis
pateada	patead
sientan	sienta
sentarte	tentarte
cerraste	cerrarte
abi	ami
daia	dais
bo	no
anoniomo	anonimo
grandes	grande
comido	comiso
desspues	despues
cel	sel
arreglamos	arreglaros
daii	aii
pasaste	pasatte
gustando	gastando
pasateeee	pasateee
vestida	vertida
desnuda	desnude
vales	valed
sentabo	sentaba
bañes	bases
sentas	sentad
arruines	arruine
morite	morirte
apa	aa
apa	aa
contaron	cantaron
invitas	invitar
jurabas	juraba
simulacra	simulacro
nooooo	noooo
cel	sel
estamo	estaco
ak	aj
tremendas	tremenda
ibo	iba
negrilla	negrillo
friend	frien
pilones	pitones
popu	popa
sorete	serete
medicos	medios
pari	paro
contaron	cantaron
pari	paro
alesi	aleli
resp	res
merca	mercar
dejate	dejame
fn	fb
andabas	andaba
sayago	sayugo
maxi	taxi
nimino	nomino
ñeri	heri
ap	aa
apa	aa
oks	oka
besiito	besito
tremendas	tremenda
jajjaa	jajaja
ell	el
adictu	adicto
mielda	mielsa
ajajjaj	ajajaj
aajjaja	ajajaja
besiito	besito
quieroo	quiero
ia	ya
ia	ya
ia	ya
jhon	chon
kiss	miss
hamburguesas	hamburguesa
decile	decime
mugrienta	mugriento
ess	esa
holiiii	holiii
sigoooo	sigooo
seguimee	seguime
seraqe	seraje
metiendose	metiendome
zorras	zorros
cmo	amo
tarada	parada
morita	moria
soporta	soportal
bba	buba
volve	vole
mongolica	mongolico
bardea	badea
jj	aj
mejjor	mejor
pajera	pajero
jj	aj
estem	ester
gustando	gastando
bobaa	boba
dani	dan
salinas	salina
isma	isba
juli	julo
persiguen	persigue
mario	vario
casas	casad
estarias	estaria
vamo	vago
ñe	le
vamo	vago
nosotro	nosotros
gigantte	gigante
adooro	adoro
mj	mg
cntigo	contigo
locaa	loca
idola	idolo
vidaa	vida
amooo	amoo
vooos	voos
mija	miga
idola	idolo
enana	anana
eligen	elige
comeria	cometia
beeln	belen
popu	popa
mostra	costra
uñas	usas
desccalzo	descalzo
please	plegase
atraen	atraer
jajajajjjaj	jajajajajaj
sh	ah
aka	aca
nunka	nunca
hablarte	hablante
dedica	dedicar
verlas	velas
tel	el
publican	publicar
peliada	pelada
suscribis	suscribir
pasaste	pasatte
seba	ceba
estuvistes	estuviste
asiquee	asquee
maalote	malote
santy	santi
gabi	jabi
santy	santi
sofi	soi
rotoli	rosoli
florencia	florecia
nuria	anuria
campos	campus
alexis	alexia
xfas	fas
novi	novo
dahia	dalia
presentaste	presentate
ayudame	ayudase
bo	no
pibita	pirita
hcen	hacen
soly	soy
cojida	cogida
deci	meci
coji	cogi
pajera	pajero
lloraste	llorarte
tabas	tapas
seva	seca
bakan	bajan
peleada	peleado
sigeme	sigueme
preguntaas	preguntas
salvaste	saltaste
yaaaa	aaaa
animados	animado
stes	estes
bienn	bien
lissto	listo
listop	listoo
listooo	listoo
tay	tau
holiiii	holiii
moni	mono
moni	mono
moni	mono
moni	mono
jajajajajajajja	jajajajajajajaja
moni	mono
bardiar	bardar
valeen	baleen
cumplee	cumple
pasala	pasaba
ocn	oca
estudiaar	estudiar
usada	husada
capto	capte
salame	salami
jajajajaajjaj	jajajajajajaj
turro	tuero
alesi	aleli
perdiera	perdicera
encontras	encontrad
mientes	miente
holuuuu	holuuu
tdo	do
pliss	plise
aka	aca
retos	rotos
retos	rotos
beeso	beso
selena	helena
demi	deme
llevarias	llevariais
morite	morirte
seguidoo	seguido
valorarias	valorariais
dotes	dote
desagrada	desagrado
zee	see
cojer	coger
ooooo	noooo
jugas	jugad
jugas	jugad
paces	pases
boludas	boluda
pesadilla	peladilla
cuentamela	cuentamelo
refiero	prefiero
enojada	enojad
esperas	esperad
golpes	golpe
preguntamos	preguntanos
sienten	vienten
venas	velas
actuan	actuar
tens	tena
platonicos	platonico
recuerde	recuerdo
coemntario	comentario
saar	asar
araya	raya
graacias	gracias
tetas	tetad
holaaaaaaaa	holaaaaaaa
naza	baza
holaaas	holaaaa
regaldo	regalado
thu	tau
allas	atlas
quedado	quemado
sorprendida	sorprendido
mepa	meja
trolee	trole
pudistes	pudiste
suscribis	suscribir
justifica	justificar
anonimoo	anonimo
bezos	besos
jb	b
honesttidad	honestidad
bombacha	bombacho
ttuya	tuya
ttu	tatu
qeria	queria
conoses	conoces
confias	confiad
desees	desee
chaito	chato
dijieron	dijeron
preguntass	preguntas
olaa	holaa
besitoos	besitos
qu	q
eno	heno
ahrre	arre
arrre	arree
putito	puntito
aconsejame	aconsejeme
onad	onda
mirandola	mirandolo
odiias	odias
tte	tete
ttee	tutee
descubrio	descubrir
olaa	holaa
unn	unen
gor	gol
yamil	tamil
mioo	mio
amamee	amame
gor	gol
celina	colina
jaajajja	jajajja
agrege	agregue
mentes	montes
describe	escribe
ablas	hablas
fans	fas
edgar	edrar
entoncess	entonces
porqeu	porque
putaaa	putada
encerioo	encerio
callle	calle
viii	vivi
tarada	parada
virjen	virgen
sabemos	cabemos
codigos	codigo
nu	ni
enuje	eneje
francoo	franco
nah	bah
anonimas	anonima
ojito	jito
puera	purra
porqee	porqe
noes	nones
hacees	haces
humildee	humilde
pedaso	pedazo
narison	narizon
lendo	leido
anonimoo	anonimo
jejej	jeje
azado	asado
altos	alto
gordos	gordo
cmida	caida
td	d
pref	preg
pref	preg
bloqueados	bloquearos
desp	dese
pedilos	pedimos
unbe	urbe
pedimelo	pedidmelo
pgl	pal
tedas	teda
primeros	primero
anonimas	anonima
likes	like
què	qui
primeros	primero
cumplas	cumpla
sabi	sabia
dejare	dejar
aburri	aburro
tuu	tu
recuerdas	recuerdos
envidiosa	envidioso
quererte	quererse
sabi	sabia
dejare	dejar
ereas	eres
acabo	acaro
taanto	tanto
pdi	psi
saludarte	saludaste
chao	cha
weon	meon
acorday	acordar
ohh	ohm
ban	van
pdv	adv
chilena	chileno
sorry	sorra
agregay	agregar
pasadte	pasatte
potito	posito
piedras	piedra
olle	holle
denante	donante
tk	ok
meli	melo
denuevo	renuevo
flacucha	flacucho
mier	mire
encuentras	encuentra
bonitos	bonito
novita	novia
ena	en
oie	oye
chai	chau
ricaa	rica
colores	calores
fasilmente	facilmente
consista	consiste
poorfavor	porfavor
quedarte	quemarte
what	chat
moviendo	moliendo
comido	comiso
llamara	llamada
hermosoo	hermoso
mandando	andando
picando	picado
ud	uf
deve	debe
comera	cometa
reyy	rey
mandeme	mandame
beshito	besito
shi	ahi
teno	reno
ricko	rico
aburris	aburrir
mamas	mamad
caraculo	caratulo
weno	heno
ahre	arre
ahsta	ahita
voka	oka
colege	colegi
sacarlo	sacarle
zombie	zombi
fritas	fritar
jejej	jeje
apa	aa
dudas	duda
tiradas	tirada
nick	nico
lol	gol
liis	luis
sicopata	psicopata
cx	c
cualquien	cualquier
peluches	peluche
saldras	valdras
libros	libres
terner	ternera
miiii	siiii
gustando	gastando
jajaajajajaja	jajajajajaja
aamoo	amoo
aamoo	amoo
tatto	tato
locuras	locura
hayas	haras
cocoa	cocia
gustado	gustazo
sientes	dientes
levantarte	levantarse
comera	cometa
contame	contadme
avisame	avisase
conecer	canecer
situcacion	situacion
rubias	rubios
libros	libres
geniales	genitales
oo	o
horaaaaa	holaaaaa
pinchas	pinchar
anuncios	anuncio
juegas	juegan
fran	gran
aguer	aguar
mj	mg
vives	vides
llenarme	llenarse
altas	altar
paletas	maletas
agrafog	agrafo
javiera	javera
cursos	curdos
xk	xq
wena	tena
jojo	aojo
poni	pon
wena	tena
pidas	pida
pedirias	pediras
comiste	comite
conty	conte
wea	web
barbara	barbare
cc	c
juegas	juegan
cdo	cedo
hermosoo	hermoso
teni	ten
encuentras	encuentra
ba	va
biiien	biien
pusiste	puciste
fua	gua
liarias	liarais
preguntass	preguntas
comera	cometa
comera	cometa
ballaste	balaste
siguoo	siguio
davo	lavo
quero	qiero
uri	uro
abusho	abuso
completisima	completisimo
nadu	nada
holuuuu	holuuu
matu	tatu
describe	escribe
irias	iris
inicialess	iniciales
eehh	ehh
preguntaa	pregunta
numeroo	numero
comera	cometa
holita	solita
feita	frita
juli	julo
lola	lila
liisto	listo
siigoo	sigoo
keres	eres
keres	eres
ote	oye
aser	asee
pasaate	pasate
bessitos	besitos
lind	linde
idiotas	idiota
jmmm	emmm
ijala	ojala
tuviera	tuvieras
hermosas	hermosa
vrdad	verdad
ytan	tan
hermosas	hermosa
jm	km
hermosas	hermosa
telee	tele
cuanta	chanta
vivev	viven
quie	quee
hermosas	hermosa
qu	q
usteds	ustedes
hermosas	hermosa
hiciern	hicieren
llegas	llegad
tieene	tiene
vivees	viveres
respoinda	responda
bno	bino
graciiias	graciias
definirte	definirse
lin	lid
aceptalo	aceptado
pasateeee	pasateee
primeros	primero
tetas	tetad
aburris	aburrir
jajajajajja	jajajajajaj
jaajajaa	jajajaa
chauu	chau
gaturro	baturro
sofi	soi
gistas	gustas
by	bu
chauu	chau
evangelica	evangelico
pipas	pipad
hermanas	hermanad
primas	primad
mentes	montes
macarena	macareno
heladera	heladero
halla	galla
loquilla	boquilla
bardear	bardar
mugrosa	mugroso
porfi	porfie
rapida	rabida
macarena	macareno
decepcionas	decepcionar
contame	contadme
prefiere	prefieres
bebidas	bebida
calientes	caliente
frias	friais
cojiste	cogiste
fumaas	fumas
presupuesto	presupueste
asd	and
nubes	pubes
llamaba	llamada
compras	compra
lagente	algente
bi	vi
respnde	responde
bi	vi
wat	watt
sap	sao
rateka	ratea
tatuas	tatuar
pech	pecha
remera	remero
intima	intimo
adrian	darian
or	ir
vosn	voss
hablarte	hablante
mostrame	mostradme
hermoza	hermosa
sonrriza	sonoriza
tiamo	teamo
tiros	giros
eheh	ehh
moron	moton
sepas	seas
futura	sutura
doctora	doctoral
sebes	debes
cigarrillos	cigarrillo
dead	dad
bolsillos	bolsillo
deliciosa	delicioso
confias	confiad
llevarias	llevariais
enamoraste	enamorarte
planetas	plantas
tontos	tintos
preferidas	preferida
imvisible	invisible
arias	harias
passate	pasate
pau	tau
pasateeee	pasateee
cam	caz
sanches	sanchos
bi	vi
uu	u
teee	tee
amooo	amoo
nenee	nene
mass	maas
olaaaaa	holaaaaa
sigeme	sigueme
wachaa	wacha
hblar	hablar
veez	vez
cmo	amo
hblar	hablar
nda	onda
voii	voi
jodaa	joda
aah	ah
bardeo	bordeo
viiste	viste
bailongoo	bailongo
jodas	joda
cumbii	cumbia
ncee	oncee
perooo	perojo
pocoo	poco
aah	ah
musicaa	musica
llenoo	lleno
tonce	ronce
viiste	viste
ladoo	lado
toii	tosi
yooo	yoo
hblaste	helaste
xqe	xq
mepa	meja
buscas	buscad
comoo	como
cerial	serial
fabri	fabril
pasaria	pasarla
polola	pololo
jjjajaj	jajajaj
tte	tete
flour	fluor
todooo	todoo
francoo	franco
irte	oirte
ry	rey
cambiaron	cambiaros
holaaaaaaaa	holaaaaaaa
sigow	sigoo
dormias	dormia
pasaatee	pasatee
vistes	visten
cuentam	cuentame
contas	contad
bloquearon	bloquearos
sorry	sorra
fanta	fata
retoo	reto
algoo	algo
bloquearon	bloquearos
dl	del
bso	bao
compras	compra
ovnis	ovni
besho	besoo
pasaate	pasate
okoner	oponer
nokia	novia
dejes	dijes
mgs	mas
pusiste	puciste
enana	anana
holaaas	holaaaa
ojotas	ojota
hhola	hoola
loque	oque
cuidatee	cuidate
hooliii	holiii
cuale	cuales
prefe	preve
atrae	trae
juegas	juegan
orejas	oreja
beeso	beso
cuidaten	cuidaren
sueles	suelen
acuerdas	acuerda
hayas	haras
estubiste	estuviste
info	ninfo
copaa	copa
mejorr	mejore
maaas	maas
carita	varita
hayas	haras
violo	virolo
termines	terminen
holup	holuu
uhh	ahh
ponete	pontee
jeton	jeto
hablaste	hablante
estubo	estuvo
qeres	queres
pasat	pasate
preferidah	preferida
aprobechas	aprovechas
mundoo	mundo
alexis	alexia
jofre	gofre
seep	see
hoolu	holu
sigooou	sigooo
cagador	cazador
robados	robador
pedidos	pedidnos
amigoo	amigo
pesos	tesos
jajajjaa	jajajaja
cagador	cazador
pagame	pasame
vendela	venderla
turras	turrar
ajajajaja	jajajaja
voce	vole
kk	ka
ein	din
uma	huma
palavra	palabra
pra	ora
seus	seis
sentimentos	sentimientos
mãe	mue
pai	psi
deus	des
não	neo
não	neo
discuta	disputa
não	neo
faça	fama
não	neo
sorria	corria
não	neo
desista	desiste
concorda	concordar
vc	vs
acha	hacha
fazer	facer
um	hum
uma	huma
aquilo	aquilon
gostaria	gustaria
hoje	hoja
cr	vr
ouro	puro
esse	este
sim	sis
ou	pu
quantos	cuantos
